Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	10	100	Song	UA	0	0.01154501
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	5	100	Song	TR	0	0.00099400
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	33	100	Song	MX	0	0.01143941
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	3	100	Song	CO	0	0.00120940
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	3	100	Song	PH	0	0.00184510
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	4	100	Song	CA	0	0.01046852
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	RS	0	0.00126089
2024-11-27	2024-10	YouTube (Ads)	PIG1987	PERVERSION	QZTBF2439187	198888700416	2	100	Song	SE	0	0.00355938
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	PR	0	0.00110275
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	128	100	Song	US	0	0.15855036
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	NO	0	0.01603955
2024-11-27	2024-10	YouTube (Ads)	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	24	100	Song	IS	0	0.01723844
2024-11-28	2024-10	YouTube (Red)	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	AE	0	0.00616231
2024-11-28	2024-10	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	AR	0	0.00044329
2024-11-28	2024-10	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	BG	0	0.00482864
2024-11-28	2024-10	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	8	100	Song	AU	0	0.04136708
2024-11-28	2024-10	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	BR	0	0.00183627
2024-11-28	2024-10	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	28	100	Song	CA	0	0.13269388
2024-11-28	2024-10	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	CO	0	0.00104342
2024-11-28	2024-10	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	12	100	Song	CL	0	0.01237457
2024-11-28	2024-10	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	CR	0	0.00278037
2024-11-28	2024-10	YouTube (Red)	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	DE	0	0.01677386
2024-11-28	2024-10	YouTube (Red)	ZONE A0	GATEWAY	QZTBF2441974	198888661472	1	100	Song	GB	0	0.01988629
2024-11-28	2024-10	YouTube (Red)	PIG1987	PERVERSION	QZTBF2439187	198888700416	1	100	Song	HR	0	0.00261098
